,Country,Date,value
77475,Portugal,01/01/02,20367.66
77476,Portugal,01/01/03,20840.88
77477,Portugal,01/01/04,21475.64
77478,Portugal,01/01/05,22739.59
77479,Portugal,01/01/06,24655.36
77480,Portugal,01/01/07,25705.95
77481,Portugal,01/01/08,26631.56
77482,Portugal,01/01/09,26469.1
77483,Portugal,01/01/10,27308.19
77484,Portugal,01/01/11,26780.21
77485,Portugal,01/01/12,26454.1
77486,Portugal,01/01/13,27899.51
77487,Portugal,01/01/14,28746.65
77488,Portugal,01/01/15,29684.69
77489,Portugal,01/01/16,31042.01
77490,Portugal,01/01/17,32554.3
77491,Slovakia,01/01/92,7135.35
77492,Slovakia,01/01/93,7428.52
77493,Slovakia,01/01/94,8026.26
77494,Slovakia,01/01/95,8648.08
77495,Slovakia,01/01/96,9360.74
77496,Slovakia,01/01/97,10068.38
77497,Slovakia,01/01/98,10613.2
77498,Slovakia,01/01/99,10700.71
77499,Slovakia,01/01/00,11356.66
77500,Slovakia,01/01/01,12371.36
77501,Slovakia,01/01/02,13294.49
77502,Slovakia,01/01/03,14139.74
77503,Slovakia,01/01/04,15188.19
77504,Slovakia,01/01/05,16616.13
77505,Slovakia,01/01/06,18864.64
77506,Slovakia,01/01/07,21165.11
77507,Slovakia,01/01/08,23691.64
77508,Slovakia,01/01/09,23059.24
77509,Slovakia,01/01/10,24962.28
77510,Slovakia,01/01/11,25835
77511,Slovakia,01/01/12,26647.42
77512,Slovakia,01/01/13,27897.6
77513,Slovakia,01/01/14,28927.67
77514,Slovakia,01/01/15,29691.52
77515,Slovakia,01/01/16,30895.99
77516,Slovakia,01/01/17,32371.22
77517,Afghanistan,01/01/02,859.93
77518,Afghanistan,01/01/03,909.65
77519,Afghanistan,01/01/04,906.45
77520,Afghanistan,01/01/05,1001.17
77521,Afghanistan,01/01/06,1052.67
77522,Afghanistan,01/01/07,1196.68
77523,Afghanistan,01/01/08,1236.58
77524,Afghanistan,01/01/09,1474.13
77525,Afghanistan,01/01/10,1659.11
77526,Afghanistan,01/01/11,1649.15
77527,Afghanistan,01/01/12,1834.1
77528,Afghanistan,01/01/13,1906.55
77529,Afghanistan,01/01/14,1933.02
77530,Afghanistan,01/01/15,1924.56
77531,Afghanistan,01/01/16,1936.79
77532,Afghanistan,01/01/17,1976.36
77533,Albania,01/01/90,2608.91
77534,Albania,01/01/91,1909.58
77535,Albania,01/01/92,1823.51
77536,Albania,01/01/93,2058.64
77537,Albania,01/01/94,2290.98
77538,Albania,01/01/95,2666.24
77539,Albania,01/01/96,2980.43
77540,Albania,01/01/97,2717.35
77541,Albania,01/01/98,3021.01
77542,Albania,01/01/99,3471.66
77543,Albania,01/01/00,3861.34
77544,Albania,01/01/01,4301.33
77545,Albania,01/01/02,4661.41
77546,Albania,01/01/03,4994.53
77547,Albania,01/01/04,5422.78
77548,Albania,01/01/05,5865.3
77549,Albania,01/01/06,6559.74
77550,Albania,01/01/07,7276.35
77551,Albania,01/01/08,8228.36
77552,Albania,01/01/09,8814.83
77553,Albania,01/01/10,9628.01
77554,Albania,01/01/11,10207.75
77555,Albania,01/01/12,10526.26
77556,Albania,01/01/13,10571.01
77557,Albania,01/01/14,11259.29
77558,Albania,01/01/15,11662.04
77559,Albania,01/01/16,11890.55
77560,Albania,01/01/17,12943.45
77561,Algeria,01/01/90,6614.83
77562,Algeria,01/01/91,6589.73
77563,Algeria,01/01/92,6703.06
77564,Algeria,01/01/93,6572.1
77565,Algeria,01/01/94,6516.48
77566,Algeria,01/01/95,6775.69
77567,Algeria,01/01/96,7058.42
77568,Algeria,01/01/97,7142.73
77569,Algeria,01/01/98,7476.19
